geoid,knoopnr,naam,lat,lon
2330,12,FNW,51.05994401350891,4.217134830746508
2374,51,FNW,51.450752510297555,5.005942376432031
2380,42,FNW,51.42196334115447,4.995771121385888
2396,53,FNW,51.4203296063545,5.034616054750182
2442,3,FNW,51.353627012812794,4.939677747960707
2470,45,FNW,51.324808815301424,4.939000240646867
2472,4,FNW,51.34506729066939,4.950945569926806
2480,63,FNW,51.347777434731384,4.986017534024862
2492,62,FNW,51.32429517524386,4.996155532297275
2495,47,FNW,51.31253955144817,5.003231534857198
2506,65,FNW,51.306476046759286,5.05888407300881
2507,65,FNW,51.303060202999355,5.061039031028084
2517,67,FNW,51.31693018053883,5.128118859860224
2544,43,FNW,51.40683898196115,5.030703309955115
2590,59,FNW,51.341137307158455,5.100659311854112
2690,2,FNW,51.343729260509626,4.94085986558095
2700,32,FNW,51.361437922583754,4.98824930851334
2704,58,FNW,51.35790224419505,5.006986781256452
2749,5,FNW,51.38219966390147,4.935063614854372
2757,9,FNW,51.35721695603459,4.963647380010311
2774,55,FNW,51.36567753559333,5.016641658862796
2791,70,FNW,51.197506809487784,4.638727761979721
2792,69,FNW,51.19425796600778,4.655454318922996
2794,68,FNW,51.18885630792903,4.680549641896387
2802,10,FNW,51.18346773406938,4.721303767846005
2806,8,FNW,51.18640188864052,4.766726182558164
2807,19,FNW,51.184619010296885,4.782453820849031
2820,14,FNW,51.20831364578285,4.839084785787926
2831,37,FNW,51.22314931375104,4.860073998727491
2837,35,FNW,51.233130033134586,4.853175077271533
2854,74,FNW,51.26942111807571,4.886204552911666
2855,75,FNW,51.26513831162757,4.895757296484025
2862,70,FNW,51.29554940474449,4.887973075422794
2872,99,FNW,51.28110772790574,4.871074848712278
2880,77,FNW,51.27528974291736,4.849376483620125
2914,3,FNW,51.238869292479414,4.76191156546561
2931,94,FNW,51.238675846951004,4.678439007963976
2932,93,FNW,51.24368067972221,4.675007019492949
2938,60,FNW,51.22115814184647,4.648474125536736
2959,98,FNW,51.19632995568562,4.664029988726635
2961,96,FNW,51.21250761942632,4.687322127970416
2977,18,FNW,51.19103981865749,4.781842709725916
3063,6,FNW,51.22014268785783,4.73109871602321
3064,7,FNW,51.228594398393334,4.723742858349953
3118,15,FNW,51.20405821141664,4.747010534175717
3133,1,FNW,51.21813398379557,4.778001403935781
3134,1,FNW,51.21916601178614,4.780640293736102
3166,16,FNW,51.22343795336349,4.79759975655049
3176,17,FNW,51.20935696111367,4.722389149804425
3206,5,FNW,51.22586257826386,4.745099281716422
3212,2,FNW,51.21211612324966,4.763713928881391
3234,76,FNW,51.32846673439768,4.439486422014776
3235,76,FNW,51.331548719591986,4.441212439929452
3250,33,FNW,51.277619561756126,4.481353108948145
3254,32,FNW,51.28322845525892,4.492074649838073
3267,68,FNW,51.33377551825134,4.590505135051478
3275,80,FNW,51.36395779006704,4.617929913341738
3286,90,FNW,51.418461281723886,4.628556767555039
3287,90,FNW,51.42051323872267,4.633814604225623
3289,1,FNW,51.43113368232004,4.586846760614611
3291,2,FNW,51.42178688280558,4.582439083211071
3300,7,FNW,51.42682344552616,4.527297519214196
3306,8,FNW,51.455742593719805,4.526694159845738
3318,52,FNW,51.48107184107795,4.524878791235914
3321,55,FNW,51.47654477172651,4.496593705405238
3338,23,FNW,51.443073433071966,4.431956088055835
3340,14,FNW,51.44757892931603,4.424680237931098
3361,81,FNW,51.36323584995933,4.446404806982256
3366,79,FNW,51.35193818649632,4.443703097859689
3389,14,FNW,51.321119820788354,4.40042774066892
3397,17,FNW,51.350964737135605,4.362880428072103
3415,39,FNW,51.314607415341456,4.47468070350641
3438,35,FNW,51.2972310292275,4.502571944607992
3446,36,FNW,51.31597467890971,4.529184121584951
3450,37,FNW,51.32136152987385,4.522660215962611
3469,87,FNW,51.38006897703312,4.559266350247668
3472,91,FNW,51.383688086629185,4.595415256621731
3477,93,FNW,51.40174067935854,4.612267436584808
3492,54,FNW,51.45347556221314,4.507525777951005
3499,53,FNW,51.46752427225692,4.52934088462141
3525,38,FNW,51.321980334490554,4.490722157204877
3550,5,FNW,51.38914289479068,4.523123545039898
3582,3,FNW,51.40198355639019,4.592275015666524
3588,92,FNW,51.39308185771797,4.599996932347905
3599,73,FNW,51.352952276460506,4.473454246244403
3600,27,FNW,51.35492429668706,4.485154795308381
3608,72,FNW,51.37122486654944,4.488941474274212
3611,71,FNW,51.39115826265843,4.487321206208716
3612,71,FNW,51.38949227953245,4.481918379767848
3616,70,FNW,51.41002166129694,4.477075220342658
3621,58,FNW,51.430646038446405,4.479034893924299
3627,59,FNW,51.43678974586632,4.456344465075506
3640,24,FNW,51.43736143600446,4.409460852720552
3647,80,FNW,51.40144874675668,4.45442408329191
3648,25,FNW,51.395131948960845,4.453622183423451
3672,74,FNW,51.35021729499206,4.455465772805334
3698,75,FNW,51.38483930674581,4.465629947576833
3757,87,FNW,51.226996925848006,4.978142510257923
3773,93,FNW,51.24239088461312,5.052724205663459
3782,42,FNW,51.26035672576059,5.10759137096785
3799,39,FNW,51.29199944386069,5.052489457429212
3824,36,FNW,51.261644410752965,4.889384613377346
3881,30,FNW,51.21559091893149,4.920275407883736
3888,31,FNW,51.226825735758545,4.948310407600171
3897,88,FNW,51.235186667699466,4.977605390684215
3903,26,FNW,51.23649478313595,5.00506365648962
3907,27,FNW,51.25689323834136,5.010367212301206
3929,7,FNW,51.26765856371187,5.115879958362111
3949,32,FNW,51.2434090698558,4.916759089195905
3953,33,FNW,51.255590269101496,4.937178465430283
3957,58,FNW,51.236229292888034,4.915181170812103
3982,91,FNW,51.262119294743265,5.043072148575978
4022,40,FNW,51.28178482025245,5.066351205999482
4039,20,FNW,51.262268189455405,4.510540462512854
4043,23,FNW,51.25409157699528,4.538002816441699
4052,29,FNW,51.220343683940925,4.560250615206156
4058,26,FNW,51.23169513532617,4.609938970423143
4059,57,FNW,51.22164493827375,4.613134063741546
4109,68,FNW,51.320089654389996,4.886256796866149
4110,49,FNW,51.329767283944214,4.868944099649034
4115,72,FNW,51.32469518452596,4.831413283313787
4129,85,FNW,51.329488640310416,4.76017526750033
4132,84,FNW,51.32899563220238,4.756614365747117
4162,99,FNW,51.329331926131914,4.634486886071143
4171,44,FNW,51.29420469261293,4.585908811120817
4179,41,FNW,51.29847535697851,4.557401534375279
4180,41,FNW,51.29648639895143,4.552517743788314
4216,59,FNW,51.22866183006991,4.623975685801111
4239,92,FNW,51.25804839182609,4.701874016576077
4248,91,FNW,51.25379687561369,4.725026411957211
4279,79,FNW,51.28382341771254,4.833516876681506
4289,59,FNW,51.292960165646036,4.836238647779118
4298,60,FNW,51.31815043322244,4.835504280691765
4303,73,FNW,51.31292238269416,4.802339332797491
4338,66,FNW,51.30978692075275,4.703893236081432
4339,66,FNW,51.312841797008204,4.70406817767439
4344,65,FNW,51.31976333247648,4.659673355233974
4348,99,FNW,51.32747300330811,4.637134890972901
4367,42,FNW,51.27941797803832,4.568845571809709
4384,52,FNW,51.27969801272665,4.740180621540151
4413,90,FNW,51.237817469157854,4.615459767608648
4416,89,FNW,51.23900855537151,4.628256422244308
4437,55,FNW,51.26106229353235,4.700382991320329
4447,54,FNW,51.272112048129095,4.714962425300476
4455,50,FNW,51.3014119979376,4.677989028620099
4471,49,FNW,51.3018188226996,4.654498754446859
4489,48,FNW,51.298932802362536,4.629001480894762
4502,45,FNW,51.26009269883315,4.590077195072436
4528,62,FNW,51.28111127686572,4.650674951739399
4536,61,FNW,51.27699048393441,4.6770806793183
4539,51,FNW,51.29641511422556,4.677867114679439
4550,28,FNW,51.41741186908356,4.730110818800589
4558,21,FNW,51.45083104057471,4.756279554531199
4561,20,FNW,51.4435863796652,4.773976142611104
4572,17,FNW,51.443392600419145,4.8124940742463
4578,16,FNW,51.46360116479301,4.835120152654818
4611,21,FNW,51.45275398470518,4.754522561655496
4771,83,FNW,51.30747417095076,4.741120180500666
4785,36,FNW,51.364364697343,4.771678422786725
4792,38,FNW,51.335432268365786,4.725031223056559
4798,39,FNW,51.354666757830245,4.738664545300088
4802,9,FNW,51.3743889743413,4.701850287319628
4812,29,FNW,51.38027920428444,4.767357323974775
4819,35,FNW,51.38847006859545,4.787878622849413
4826,71,FNW,51.328280800215005,4.783689627895252
4863,34,FNW,51.37033183057953,4.820955885251513
4877,31,FNW,51.373022709430835,4.85713202547994
4879,7,FNW,51.3659026470838,4.861721402721609
4906,13,FNW,51.35890143400575,4.871201604766349
4953,8,FNW,51.407503852274914,4.892024123381247
4972,10,FNW,51.393582141768604,4.826073182418535
4978,99,FNW,51.403370875652676,4.823080384933278
4979,12,FNW,51.40844967303374,4.821503361942348
4985,18,FNW,51.43252496548302,4.822926969743502
4991,11,FNW,51.405137628343596,4.792856244599304
5072,53,FNW,51.40442946955374,4.761212125637662
5086,52,FNW,51.40853338019721,4.772613781867371
5089,13,FNW,51.458401779395295,4.74149090400108
5091,14,FNW,51.48572910456175,4.76954568730948
5109,15,FNW,51.47865956584815,4.807802678173027
5132,4,FNW,51.19845745084575,5.093511700110191
5149,51,FNW,51.214215350363524,5.158639523762858
5151,50,FNW,51.2194691961425,5.159850429012583
5154,73,FNW,51.23473599091056,5.161196196610348
5158,74,FNW,51.23543378652975,5.164773085310717
5160,12,FNW,51.268344758902266,5.152560882465493
5162,72,FNW,51.27766746134767,5.149602854221103
5166,77,FNW,51.28250653515112,5.187689718412932
5173,76,FNW,51.265666277679294,5.229976773497575
5185,17,FNW,51.312359608732756,5.177276564592129
5201,75,FNW,51.238374839103166,5.185387439026926
5204,14,FNW,51.230393042399854,5.182786651586503
5231,53,FNW,51.194190297281374,5.155208358113561
5232,52,FNW,51.19404572594981,5.154226709425479
5233,55,FNW,51.191152008003755,5.153540010430507
5245,96,FNW,51.2242876716505,5.092804269709598
5269,43,FNW,51.26504300729777,5.138505485645229
5273,95,FNW,51.21239971059483,5.037782056748823
5276,5,FNW,51.1846637497022,5.076248397665691
5284,6,FNW,51.19715323084472,5.050946897445273
5456,38,FNW,51.128647748087474,5.140551228718599
5475,39,FNW,51.12890807778574,5.196178798059051
