begin_geoid,end_geoid,lengte_m
1006032,1006033,3052.1195477238593
1006032,1006034,511.93048199290394
1006033,1006036,2793.059670115468
1006033,1006042,3488.35018067038
1006033,1006072,74.42167864844275
1006034,1006035,2541.6452708469346
1006034,1006038,1600.1878037948413
1006035,1006039,850.9153369215294
1006036,1006040,558.9185023712403
1006036,1007912,1538.2005504603314
1006037,1006038,1359.2989923061207
1006037,1006040,4382.879758320286
1006038,1006039,2264.709624304124
1006040,1007909,3384.3464545110137
1006041,1006042,2272.741787197886
1006041,1006043,4003.7705284700382
1006041,1007912,1594.284569109652
1006042,1007936,1020.6288546646823
1006043,1007910,231.29318258380516
1006043,1020109,2657.658605818199
1006044,1006045,3596.901539385615
1006044,1006046,1519.6853996209286
1006044,1007910,103.33138698383794
1006045,1007916,3429.3849826162195
1006046,1006050,2034.9953883938763
1006049,1007925,386.8250080589021
1006049,1007928,866.0676322694222
1006049,1007934,5341.028250334472
1006050,1007928,2957.0192572933915
1006051,1006057,282.6175027720571
1006051,1007940,2024.9090431293932
1006051,1007944,3917.418601945889
1006052,1006053,2000.5771365942262
1006052,1007940,1176.028247274443
1006052,1007941,1264.0016904931754
1006053,1006054,2085.161104358076
1006053,1006056,1216.6268483949507
1006053,1006094,70.37746251819192
1006054,1006055,749.7097293053291
1006054,1006060,414.16838470551716
1006055,1006056,1527.6877162416322
1006055,1006058,562.3395036354261
1006056,1006057,1924.7355242387466
1006057,1006059,3646.7871470759314
1006058,1006059,1021.7468589768002
1006058,1006065,648.9716347179137
1006059,1007945,1687.1214958654887
1006060,1006061,1948.6067705155328
1006060,1006064,304.13485006323117
1006061,1006062,1391.9222335666511
1006061,1006095,638.4555389723828
1006062,1006063,89.67377676188208
1006062,1006095,1661.5801607766673
1006063,1006096,347.4520117787698
1006063,1007956,340.3012021764366
1006064,1006065,1118.630803149353
1006064,1006070,759.1672276523158
1006065,1007950,721.6015849186041
1006066,1006067,199.71060302078632
1006066,1007954,2284.313893018175
1006066,1007955,6652.013725110367
1006067,1006068,1899.1025975925402
1006067,1020085,1600.3710962552768
1006068,1007953,143.13675630009263
1006068,1007954,59.80485127164829
1006069,1006070,2910.945067439099
1006069,1006071,3152.015437365009
1006069,1007953,97.50424924681609
1006070,1006071,465.22205062275054
1006071,1007950,810.7448484186584
1006072,1006073,1996.9534832979639
1006072,1007957,2053.205170419532
1006073,1006074,1936.5253987252822
1006073,1007959,1482.089022158268
1006074,1007960,1439.5846051931203
1006075,1006076,179.44068055994418
1006075,1007960,1656.3790504995266
1006075,1007962,364.4077607772783
1006076,1006077,2580.9569572109044
1006076,1007964,2326.033884267848
1006077,1007965,532.0421348182276
1006077,1007978,620.7279031362118
1006079,1006081,478.07289153476074
1006079,1007961,3055.261877589248
1006079,1007962,2057.8228344734694
1006080,1007961,656.0253608752795
1006080,1007965,1505.5893978017841
1006080,1007982,2343.2054387385347
1006081,1006082,3261.1661890485275
1006081,1006086,3023.516366057628
1006082,1006083,1221.9935293049575
1006082,1007958,1111.527270560137
1006083,1006084,964.9512688640193
1006083,1007957,1501.0111824722703
1006084,1006085,1047.6149194276811
1006084,1007936,752.5998282562205
1006085,1006086,1842.050516517005
1006085,1006091,1462.7293101153246
1006086,1006087,502.0835105793255
1006087,1006088,1105.3002684207524
1006087,1007982,3369.848807726125
1006088,1006126,2415.513217939506
1006088,1030357,507.8370544259678
1006089,1006090,69.73451470651398
1006089,1006092,1564.1208883087147
1006089,1030357,2245.1745207922627
1006090,1006091,890.0887941250811
1006090,1007941,1566.9075641269087
1006091,1007934,615.8543231623355
1006092,1006093,3917.1865449690563
1006092,1006099,1029.616601786368
1006093,1006098,2031.2512149531656
1006093,1007948,123.91714396565841
1006094,1007948,475.79397829474374
1006094,1007949,1154.3732908852933
1006095,1007949,2282.129824965744
1006096,1006097,2299.5859986990126
1006096,1006149,3930.3253626731725
1006097,1006098,1489.118369627415
1006097,1006151,2063.3345882923477
1006098,1006099,3467.9280237784624
1006099,1006152,2332.3439871607593
1006100,1006101,967.4894437092315
1006100,1006109,1621.6894187338578
1006100,1007880,2083.8550691871915
1006101,1006106,4986.8067990017435
1006101,1006999,3953.510380897456
1006103,1006104,443.4831912256355
1006103,1007876,614.4220274797324
1006103,1007880,2532.4728813810566
1006104,1006105,3758.381857028338
1006104,1007761,1743.404783604488
1006105,1006106,247.291243902252
1006105,1006458,1924.241312189515
1006106,1006107,1903.9211627102125
1006107,1007762,3479.296082550788
1006107,1007825,1602.4774006382675
1006107,1007826,3578.9125592357946
1006109,1006110,4213.733912167478
1006109,1006123,3435.053685051228
